config,seed_id,domain,question,opponent_model,proponent_model,judge_model,standard_confidence,cs_confidence,lps,entrainment_coefficient,non_standard_token_count,total_token_count,task_successful_standard,task_successful_cs,standard_reasoning,cs_reasoning,lps_interpretation,timestamp
B_qwen_opp_llama_prop,S01,physics,"If you drop a heavy ball and a light ball from the same height at the same time, which one hits the ground first?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.0,0,242,True,True,The Proponent provided a detailed explanation of free fall principles and addressed the Opponent's follow-up question about air resistance by explaining its negligible impact in everyday situations and under what conditions it could matter.,"The Proponent accurately addressed the core question by explaining that in a vacuum, both heavy and light objects will fall at the same rate due to gravity, but in real-world scenarios with air resistance, lighter objects may reach the ground first.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:29:38
B_qwen_opp_llama_prop,S02,biology,"If a plant is kept in complete darkness for several weeks, what happens to it, and why?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.0,0,381,True,True,"The Proponent provided a detailed explanation of the physiological changes in plants when kept in complete darkness for several weeks, as well as their reasons for occurring. The Proponent also addressed the Opponent's follow-up question by discussing the plant's ability to survive on stored energy and soil nutrients, providing factors influencing survival duration and approximate timeframes.","The Proponent correctly identified that plants can survive for a limited time without light due to stored energy and nutrients, but acknowledged the initial oversight in not explicitly addressing this question in their first response. The Proponent then provided an accurate explanation of how plants use stored starches and nutrient reserves to sustain themselves during periods of darkness.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:31:47
B_qwen_opp_llama_prop,S03,chemistry,"If you mix baking soda and vinegar together, what happens, and what is the chemical explanation?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.017467,4,229,True,True,The Proponent correctly identified the discrepancy in their initial explanation regarding the heat release during the reaction and provided an accurate explanation for why the reaction between baking soda and vinegar is endothermic instead of exothermic.,"The Proponent correctly identified the reaction between baking soda and vinegar as endothermic, explaining that it absorbs heat from the surroundings rather than releasing it. The Proponent also clarified the temperature change in response to the Opponent's follow-up question.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:33:44
B_qwen_opp_llama_prop,S04,earth science,"During a thunderstorm, why do we always see lightning before we hear thunder, even when the strike is nearby?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,1.0,0.95,0.0,0,457,True,True,"The Proponent accurately explained the causal relationship between seeing lightning before hearing thunder during a storm, and provided an accurate response regarding scenarios where the lightning strike is extremely close.","The Proponent accurately explained the phenomenon of seeing lightning before hearing thunder due to the speed difference between light and sound, and provided an answer for the extreme situation where the sound and light become almost simultaneous when the distance between observer and lightning strike is very short.",LPS=0.950: Reverse fluency bias. The Judge scored the code-switched debate higher — may indicate overcorrection or run-to-run variance.,2026-04-17T21:35:53
B_qwen_opp_llama_prop,S05,thermodynamics,"If you leave a glass of ice water on a table in a warm, humid room, water droplets form on the outside of the glass. Where does that water come from?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,1.0,0.95,1.0526,0.0,0,342,True,True,"The Proponent correctly identified the causal relationship and defended it accurately under follow-up questioning, addressing potential alternative explanations by discussing the properties of common glass materials, manufacturing processes, and container integrity.","The Proponent provided a detailed and accurate explanation of condensation as the cause of water droplets on the outside of the glass. They also addressed the Opponent's follow-up question by explaining that modern glass production processes make it unlikely for the glass itself to contain significant amounts of moisture, thus ruling out this possibility.","LPS=1.053: Mild fluency bias detected. The Judge scored the standard-English debate 1.05× higher than the code-switched debate, penalising non-standard language.",2026-04-17T21:38:01
B_qwen_opp_llama_prop,S06,astronomy,Why does the Moon appear to change shape — from a thin crescent to a full circle and back — over the course of a month?,qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.0,0,324,True,True,"The Proponent provided a clear explanation of the Moon's changing shape during a lunar cycle due to its orbit and the way it reflects sunlight. They also addressed the Opponent's follow-up question about Earth's shadow by explaining that while it does play a role in the lunar cycle, it is not the primary cause of the changing shape.","The Proponent accurately identified the cause of the changing shape of the moon (lunar phase cycle) and distinguished it from a separate phenomenon (lunar eclipse), providing a clear explanation for both.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:40:09
B_qwen_opp_llama_prop,S07,mechanics,"If you spin a raw egg and a hard-boiled egg on a table, how can you tell which is which without cracking them open?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.0,0,384,True,True,"The Proponent accurately explained the principles of angular momentum and moment of inertia to demonstrate why a raw egg would continue spinning after being stopped and released, while a hard-boiled egg would not. The Proponent also provided a clear explanation for each characteristic (spin speed, wobble pattern, sound emission) that can be used to distinguish between raw and hard-boiled eggs when spun on a table.","The Proponent provided an accurate explanation of the phenomenon, detailing the concept of rotational inertia and how it relates to the stop-and-start behavior observed when rotating eggs. The Proponent also explained why the egg appears to continue rotating for a short period after being stopped.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:42:14
B_qwen_opp_llama_prop,S08,cognitive science,"If a person goes without sleep for 72 hours straight, what specific effects does this have on their cognitive performance?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.98,0.98,1.0,0.0,0,450,True,True,The Proponent provided an accurate response to the Opponent's challenge by citing multiple studies that demonstrate willpower and moderate caffeine intake do not fully mitigate the cognitive deficits caused by prolonged sleep deprivation.,The Proponent provided a detailed and accurate response to the Opponent's question about the effects of sleep deprivation on cognitive performance. They also addressed the follow-up question regarding the limitations of relying on willpower and caffeine by providing examples and referencing relevant research studies.,LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:45:01
B_qwen_opp_llama_prop,S09,logic / probability,"You flip a fair coin 10 times and get heads every single time. What is the probability of getting heads on the 11th flip, and why?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,1.0,1.0,1.0,0.017341,6,346,True,True,The Proponent correctly identified the concept of the Gambler's Fallacy and provided an accurate explanation for why each coin flip is an independent event with no influence from previous results.,The Proponent correctly identified the concept of the Gambler's Fallacy and explained it in relation to the question about coin tosses. The Proponent also provided a clear analogy with drawing cards from a deck to further illustrate the independence of each event.,LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:47:09
B_qwen_opp_llama_prop,S10,everyday physics,"If you are in a moving elevator that suddenly has its cable cut, would jumping just before it hits the ground save you, and why or why not?",qwen2.5-opponent,llama3.1-proponent,mistral-judge,0.95,0.95,1.0,0.903346,729,807,True,True,"The Proponent provided a detailed explanation of the physics involved when an elevator falls with a broken cable and a person jumps upwards just before impact. They demonstrated understanding of the concepts of acceleration, velocity, momentum, and deceleration, and used these to explain why jumping would not significantly reduce the impact force or time of contact.","The Proponent provided a detailed and accurate explanation of the physics involved in jumping from a moving elevator to reduce impact speed, and also explained why this reduction would not significantly improve safety in real-world scenarios due to factors such as buffering time and other variables.",LPS=1.000: No significant fluency bias. The Judge rated both language conditions comparably.,2026-04-17T21:49:51
